imdb_title_id,ordering,imdb_name_id,category
17136,6,902376,writer
17136,7,690143,producer
17136,8,923118,composer
17136,9,2111404,composer
17136,10,403288,composer
17350,1,1273,actress
17350,2,361319,actor
17350,3,910400,actor
17350,4,199322,actor
17350,5,803705,director
17350,6,370426,writer
17350,7,547966,writer
17350,8,588838,composer
17350,9,636079,composer
17350,10,765682,cinematographer
17416,1,884388,actor
17416,2,126566,actress
17416,3,269493,actor
17416,4,2311,actor
17416,5,280463,director
17416,6,401423,writer
17416,7,547966,writer
17416,8,208691,writer
17416,9,547938,writer
17416,10,809548,writer
17765,1,36,actor
17765,2,180465,actress
17765,3,104238,actress
17765,4,329467,actor
17765,5,395023,director
17765,6,361882,writer
17765,7,289381,writer
17765,8,354229,cinematographer
17765,9,222354,cinematographer
17765,10,445488,editor
17925,1,36,actor
17925,2,533045,actress
17925,3,147070,actor
17925,4,267650,actor
17925,5,115669,director
17925,6,90213,writer
17925,7,807667,writer
17925,8,685904,writer
17925,9,809548,writer
17925,10,1193626,composer
18051,1,516001,actor
18051,2,707814,actress
18051,3,417012,actor
18051,4,932381,actor
18051,5,928514,director
18051,6,397834,director
18051,7,587277,director
18051,8,340599,writer
18051,9,188274,writer
18051,10,623640,writer
18192,1,226387,actor
18192,2,745565,actor
18192,3,885965,actor
18192,4,467916,actor
18192,5,304098,director
18192,6,178874,composer
18192,7,2301,composer
18192,8,6131,composer
18192,9,5662,cinematographer
18192,10,472590,cinematographer
18455,1,639563,actor
18455,2,310980,actress
18455,3,515272,actress
18455,4,743017,actress
18455,5,3638,director
18455,6,562346,writer
18455,7,837183,writer
18455,8,385012,writer
18455,9,129721,writer
18455,10,3546,cinematographer
18578,1,1966,actress
18578,2,736777,actor
18578,3,35159,actor
18578,4,707814,actress
18578,5,920074,director
18578,6,195496,director
18578,7,766850,writer
18578,8,521002,writer
18578,9,510024,writer
18578,10,425456,writer
18737,1,315,actress
18737,2,466776,actor
18737,3,496473,actor
18737,4,324501,actor
18737,5,655065,director
18737,6,917149,writer
18737,7,883335,writer
18737,8,281567,writer
18737,9,485161,producer
18737,10,1177665,composer
18742,1,36,actor
18742,2,206496,actress
18742,3,329467,actor
18742,4,102718,actor
18742,5,781292,director
18742,6,115669,writer
18742,7,513858,writer
18742,8,267868,writer
18742,9,90213,writer
18742,10,604526,writer
18773,1,122,actor
18773,2,448224,actress
18773,3,305087,actor
18773,4,188357,actor
18773,5,5906,cinematographer
18773,6,204639,actor
18773,7,74788,actor
18773,8,761866,actor
18773,9,709466,actor
18773,10,614730,actor
19254,1,266029,actress
19254,2,798564,actor
19254,3,75551,actor
19254,4,776914,actor
19254,5,3433,director
19254,6,217865,writer
19254,7,1224245,composer
19254,8,773138,composer
19254,9,5789,cinematographer
19421,1,36,actor
19421,2,570297,actor
19421,3,868458,actor
19421,4,507827,actor
19421,5,718469,director
19421,6,361882,writer
19421,7,354229,cinematographer
19421,8,222354,cinematographer
19702,1,648565,actress
19702,2,519274,actor
19702,3,21329,actress
19702,4,665715,actor
19702,5,33,director
19702,6,71657,writer
19702,7,506349,writer
19702,8,3836,writer
19702,9,1755921,composer
19702,10,1868164,composer
19729,1,522281,actress
19729,2,656105,actress
19729,3,454558,actor
19729,4,4098805,actress
19729,5,64600,director
19729,6,332539,writer
19729,7,396876,writer
19729,8,322299,writer
19729,9,49898,writer
19729,10,36507,cinematographer
19777,1,50,actor
19777,2,555617,actor
19777,3,555597,actor
19777,4,555688,actor
19777,5,282984,director
19777,6,763798,director
19777,7,442151,writer
19777,8,753452,writer
19777,9,5706,cinematographer
19777,10,2580347,actor
20030,1,71602,actress
20030,2,209323,actress
20030,3,720885,actress
20030,4,507849,actress
20030,5,245385,director
20030,6,940689,writer
20030,7,1196,writer
20030,8,241416,writer
20030,9,192325,writer
20030,10,195503,writer
20629,1,817,actor
20629,2,938464,actor
20629,3,942046,actor
20629,4,524803,actor
20629,5,587277,director
20629,6,718871,writer
20629,7,27173,writer
20629,8,7973,writer
20629,9,28636,writer
20629,10,837989,writer
20640,1,50,actor
20640,2,555617,actor
20640,3,555597,actor
20640,4,2580347,actor
20640,5,373511,director
20640,6,442151,writer
20640,7,753452,writer
20640,8,436095,writer
20640,9,748438,writer
20640,10,5706,cinematographer
20697,1,417837,actor
20697,2,17,actress
20697,3,314777,actor
20697,4,884665,actress
20697,5,903049,director
20697,6,542777,writer
20697,7,958454,writer
20697,8,901629,writer
20697,9,509510,writer
20697,10,935567,writer
21079,1,64,actor
21079,2,1195,actor
21079,3,268225,actress
21079,4,171873,actor
21079,5,503777,director
21079,6,122446,writer
21079,7,267020,writer
21079,8,498133,writer
21079,9,520501,writer
21079,10,953123,writer
21165,1,3339,actor
21165,2,54689,actress
21165,3,42496,actress
21165,4,152361,actor
21165,5,33,director
21165,6,199304,writer
21165,7,801026,writer
21165,8,616601,writer
21165,9,720904,writer
21165,10,185055,cinematographer
21577,1,595321,actor
21577,2,529227,actress
21577,3,479475,actress
21577,4,259722,actor
21577,5,320,director
21577,6,198557,writer
21577,7,211381,writer
21577,8,210587,producer
21577,9,245178,cinematographer
21746,1,228715,actor
21746,2,2050,actress
21746,3,852347,actress
21746,4,642042,actress
21746,5,749484,director
21746,6,272209,writer
21746,7,261455,writer
21746,8,765037,writer
21746,9,495461,producer
21746,10,5676,cinematographer
21749,1,122,actor
21749,2,156039,actress
21749,3,5681967,actress
21749,4,616729,actor
21749,5,139714,writer
21749,6,188357,writer
21749,7,689661,cinematographer
21749,8,5906,cinematographer
21814,1,509,actor
21814,2,151377,actress
21814,3,543115,actor
21814,4,296859,actor
21814,5,115218,director
21814,6,5713,director
21814,7,831290,writer
21814,8,213019,writer
21814,9,49721,writer
21814,10,287124,writer
21818,1,286993,actor
21818,2,502322,actress
21818,3,624552,actress
21818,4,778306,actor
21818,5,655065,director
21818,6,106517,writer
21818,7,486797,writer
21818,8,883335,writer
21818,9,49462,writer
21818,10,623873,producer
21884,1,166972,actor
21884,2,164883,actress
21884,3,472,actor
21884,4,92900,actor
21884,5,1843,director
21884,6,49721,writer
